Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2,perfect_gen,newBESS_2,fusion_new_2
178,0.262,1,1,0.122969,0.070470696,0.064795204,0.69,0.2905,0.2905,1,0.552743642,1,1,1,1,1
179,0.262,1,1,0.147632,0.084604492,0.077790708,0.757,0.7956,0.7956,1,0.552743642,1,1,1,1,1
180,0.262,1,1,0.159147,0.091203473,0.083858227,0.3577,0.3654,0.3654,1,0.552743642,1,1,1,1,1
181,0.262,1,1,0.130403,0.07473095,0.06871235,0.7271,0.5828,0.5828,1,0.552743642,1,1,1,1,1
182,0.262,1,1,0.085644,0.0490806,0.0451278,0.3864,0.9089,0.9089,1,0.552743642,1,1,1,1,1
183,0.262,1,1,0.070518,0.040412238,0.037157562,0.8163,0.8038,0.8038,1,0.552743642,1,1,1,1,1
184,0.262,1,1,0.031455,0.018026135,0.016574365,0.5922,0.512,0.512,1,0.552743642,1,1,1,1,1
185,0.262,1,1,0.002202,0.001261915,0.001160285,0.2475,0.5673,0.5673,1,0.552743642,1,1,1,1,1
186,0.262,1,1,0,0,0,0.5596,0.6861,0.6861,1,0.552743642,1,1,1,1,1
187,0.262,1,1,0,0,0,0.3774,0.4732,0.4732,1,0.552743642,1,1,1,1,1
188,0.262,1,1,0,0,0,0.655,0.4676,0.4676,1,0.552743642,1,1,1,1,1
189,0.262,1,1,0,0,0,0.4455,0.568,0.568,1,0.552743642,1,1,1,1,1
190,0.262,1,1,0,0,0,0.3464,0.7883,0.7883,1,0.552743642,1,1,1,1,1
191,0.262,1,1,0,0,0,0.3283,0.1816,0.1816,1,0.552743642,1,1,1,1,1
192,0.262,1,1,0,0,0,0.2945,0.6944,0.6944,1,0.552743642,1,1,1,1,1
193,0.262,1,1,0,0,0,0.2858,0.5261,0.5261,1,0.552743642,1,1,1,1,1
194,0.262,1,1,0,0,0,0.5179,0.4548,0.4548,1,0.552743642,1,1,1,1,1
195,0.262,1,1,0,0,0,0.3258,0.3132,0.3132,1,0.552743642,1,1,1,1,1
196,0.262,1,1,0,0,0,0.1367,0.1236,0.1236,1,0.552743642,1,1,1,1,1
197,0.262,1,1,0,0,0,0.1262,0.0882,0.0882,1,0.552743642,1,1,1,1,1
198,0.262,1,1,0,0,0,0.1074,0.1102,0.1102,1,0.552743642,1,1,1,1,1
199,0.262,1,1,0,0,0,0.1414,0.0631,0.0631,1,0.552743642,1,1,1,1,1
200,0.262,1,1,0.002602,0.001491146,0.001371054,0.2391,0.408,0.408,1,0.552743642,1,1,1,1,1
201,0.262,1,1,0.014427,0.008267781,0.007601919,0.2151,0.375,0.375,1,0.552743642,1,1,1,1,1
202,0.262,1,1,0.050418,0.028893392,0.026566408,0.4506,0.0655,0.0655,1,0.552743642,1,1,1,1,1
